headers;"Код заказа";Типоразмер;"Тип привода";"Номинальное рабочее давление, бар";"Присоединительный фланец";"Присоединение вала";"Диапазон температуры окружающей среды, °C";"Угол поворота";"Присоединительная резьба для подвода воздуха";price;stock
AP-B-240D-F16;240;"Двустороннего действия";5.5;F16;46;-20…+80;90°;G1/2;148797.45;"0 шт"
AP-B-210D-F14;210;"Двустороннего действия";5.5;F14;36;-20…+80;90°;G1/4;87094.63;"0 шт"
AP-B-052D-F0305;052;"Двустороннего действия";5.5;F0305;11;-20…+80;90°;G1/4;5145.68;"0 шт"
AP-V-110SR5-F0710TT60;110;"Одностороннего действия";2.5;F0710;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-110D-F0710TT60;110;"Двустороннего действия";5.5;F0710;17;-60…+60;90°;G1/4;25178.22;"0 шт"
AP-V-095D-F0507TT60;095;"Двустороннего действия";5.5;F0507;17;-60…+60;90°;G1/4;23081.11;"0 шт"
AP-V-085D-F0507TT60;085;"Двустороннего действия";5.5;F0507;17;-60…+60;90°;G1/4;18725.09;"0 шт"
AP-V-075D-F0507TT60;075;"Двустороннего действия";5.5;F0507;14;-60…+60;90°;G1/4;15773.60;"0 шт"
AP-V-065D-F0507TT60;065;"Двустороннего действия";5.5;F0507;14;-60…+60;90°;G1/4;13191.06;"0 шт"
AP-V-050D-F0305TT60;050;"Двустороннего действия";5.5;F0305;11;-60…+60;90°;G1/4;11266.12;"0 шт"
AP-V-350D-F1625TT40;350;"Двустороннего действия";5.5;F1625;46;-40…+60;90°;G1/2;636031.60;"0 шт"
AP-V-270D-F16TT40;270;"Двустороннего действия";5.5;F16;46;-40…+60;90°;G1/2;279284.06;"0 шт"
AP-V-160D-F1012TT60;160;"Двустороннего действия";5.5;F1012;27;-60…+60;90°;G1/4;70764.39;"0 шт"
AP-V-125D-F0710TT60;125;"Двустороннего действия";5.5;F0710;22;-60…+60;90°;G1/4;35404.85;"0 шт"
AP-V-400D-F25TT40;400;"Двустороннего действия";5.5;F25;55;-40…+60;90°;G1/2;904920.74;"0 шт"
AP-V-240SR7-F16TT60;240;"Одностороннего действия";3.5;F16;46;-60…+60;90°;G1/2;;"0 шт"
AP-V-190SR8-F1014TT60;190;"Одностороннего действия";4;F1014;36;-60…+60;90°;G1/4;124836.07;"0 шт"
AP-V-210SR8-F14TT60;210;"Одностороннего действия";4;F14;36;-60…+60;90°;G1/4;145354.06;"0 шт"
AP-V-190SR9-F1014TT60;190;"Одностороннего действия";4.5;F1014;36;-60…+60;90°;G1/4;;"0 шт"
AP-V-032D-F03TT40;032;"Двустороннего действия";5.5;F03;9;-40…+60;90°;G1/8;;"0 шт"
AP-V-032SR12-F03TT60;032;"Одностороннего действия";6;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR11-F03TT60;032;"Одностороннего действия";5.5;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR10-F03TT60;032;"Одностороннего действия";5;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR9-F03TT60;032;"Одностороннего действия";4.5;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR8-F03TT60;032;"Одностороннего действия";4;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR7-F03TT60;032;"Одностороннего действия";3.5;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR6-F03TT60;032;"Одностороннего действия";3;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-032SR5-F03TT60;032;"Одностороннего действия";2.5;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-125SR12-F0710TT40;125;"Одностороннего действия";6;F0710;22;-40…+60;90°;G1/4;54110.52;"0 шт"
AP-V-300D-F16TT60;300;"Двустороннего действия";5.5;F16;46;-60…+60;90°;G1/2;;"0 шт"
AP-V-270D-F16TT60;270;"Двустороннего действия";5.5;F16;46;-60…+60;90°;G1/2;;"0 шт"
AP-V-240D-F16TT60;240;"Двустороннего действия";5.5;F16;46;-60…+60;90°;G1/2;;"0 шт"
AP-V-190D-F1014TT60;190;"Двустороннего действия";5.5;F1014;36;-60…+60;90°;G1/4;;"0 шт"
AP-V-095D-F0507TT60;095;"Двустороннего действия";5.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR10-F0507TT40;075;"Одностороннего действия";5;F0507;14;-40…+60;90°;G1/4;15255.80;"0 шт"
AP-V-085SR10-F0507TT40;085;"Одностороннего действия";5;F0507;17;-40…+60;90°;G1/4;19074.60;"0 шт"
AP-V-140SR10-F1012TT40;140;"Одностороннего действия";5;F1012;27;-40…+60;90°;G1/4;56874.30;"0 шт"
AP-V-125SR8-F0710TT60;125;"Одностороннего действия";4;F0710;22;-60…+60;90°;G1/4;21670.10;"0 шт"
AP-B-125D-F0710;125;"Двустороннего действия";5.5;F0710;22;-20…+80;90°;G1/4;22174.96;"0 шт"
AP-B-092D-F0507;092;"Двустороннего действия";5.5;F0507;17;-20…+80;90°;G1/4;12524.38;"0 шт"
AP-V-400D-F25TT60;400;"Двустороннего действия";5.5;F25;55;-60…+60;90°;G1/2;915173.26;"0 шт"
AP-V-350D-F1625TT60;350;"Двустороннего действия";5.5;F1625;46;-60…+60;90°;G1/2;645947.54;"0 шт"
AP-V-300D-F16TT60;300;"Двустороннего действия";5.5;F16;46;-60…+60;90°;G1/2;458502.50;"0 шт"
AP-V-270D-F16TT60;270;"Двустороннего действия";5.5;F16;46;-60…+60;90°;G1/2;291588.38;"0 шт"
AP-V-240D-F16TT60;240;"Двустороннего действия";5.5;F16;46;-60…+60;90°;G1/2;211982.49;"0 шт"
AP-V-210D-F14TT60;210;"Двустороннего действия";5.5;F14;36;-60…+60;90°;G1/4;123392.69;"0 шт"
AP-V-190D-F1014TT60;190;"Двустороннего действия";5.5;F1014;36;-60…+60;90°;G1/4;106699.99;"0 шт"
AP-V-140D-F1012TT60;140;"Двустороннего действия";5.5;F1012;27;-60…+60;90°;G1/4;54065.21;"0 шт"
AP-V-110D-F0710TT40;110;"Двустороннего действия";5.5;F0710;17;-40…+60;90°;G1/4;24621.58;"0 шт"
AP-V-032D-F03TT60;032;"Двустороннего действия";5.5;F03;9;-60…+60;90°;G1/8;;"0 шт"
AP-V-110SR12-F0710TT40;110;"Одностороннего действия";6;F0710;17;-40…+60;90°;G1/4;39288.38;"0 шт"
AP-V-065SR12-F0507TT40;065;"Одностороннего действия";6;F0507;14;-40…+60;90°;G1/4;13605.30;"0 шт"
AP-V-240SR12-F16TT40;240;"Одностороннего действия";6;F16;46;-40…+60;90°;G1/2;242953.64;"0 шт"
AP-B-160SR12-F1012;160;"Одностороннего действия";6;F1012;27;-20…+80;90°;G1/4;66440.73;"0 шт"
AP-B-140SR12-F1012;140;"Одностороннего действия";6;F1012;27;-20…+80;90°;G1/4;49495.59;"0 шт"
AP-B-125SR12-F0710;125;"Одностороннего действия";6;F0710;22;-20…+80;90°;G1/4;31903.20;"0 шт"
AP-B-105SR12-F0710;105;"Одностороннего действия";6;F0710;22;-20…+80;90°;G1/4;22906.35;"0 шт"
AP-B-083SR12-F0507;083;"Одностороннего действия";6;F0507;17;-20…+80;90°;G1/4;14472.62;"0 шт"
AP-B-075SR12-F0507;075;"Одностороннего действия";6;F0507;14;-20…+80;90°;G1/4;11521.14;"0 шт"
AP-B-063SR12-F0507;063;"Одностороннего действия";6;F0507;14;-20…+80;90°;G1/4;8964.48;"0 шт"
AP-V-160SR10-F1012TT60;160;"Одностороннего действия";5;F1012;27;-60…+60;90°;G1/4;86761.50;"0 шт"
AP-V-110SR11-F0710TT60;110;"Одностороннего действия";5.5;F0710;17;-60…+60;90°;G1/4;30409.50;"0 шт"
AP-V-095SR12-F0507TT40;095;"Одностороннего действия";6;F0507;17;-40…+60;90°;G1/4;24259.12;"0 шт"
AP-V-140SR12-F1012TT40;140;"Одностороннего действия";6;F1012;27;-40…+60;90°;G1/4;43903.31;"0 шт"
AP-V-095SR12-F0507TT60;095;"Одностороннего действия";6;F0507;17;-60…+60;90°;G1/4;26543.93;"0 шт"
AP-V-095SR11-F0507TT60;095;"Одностороннего действия";5.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-095SR10-F0507TT60;095;"Одностороннего действия";5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-095SR9-F0507TT60;095;"Одностороннего действия";4.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-095SR8-F0507TT60;095;"Одностороннего действия";4;F0507;17;-60…+60;90°;G1/4;25391.81;"0 шт"
AP-V-095SR7-F0507TT60;095;"Одностороннего действия";3.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-095SR6-F0507TT60;095;"Одностороннего действия";3;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-095SR5-F0507TT60;095;"Одностороннего действия";2.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-085SR12-F0507TT60;085;"Одностороннего действия";6;F0507;17;-60…+60;90°;G1/4;21883.69;"0 шт"
AP-V-085SR11-F0507TT60;085;"Одностороннего действия";5.5;F0507;17;-60…+60;90°;G1/4;20874.50;"0 шт"
AP-V-085SR10-F0507TT60;085;"Одностороннего действия";5;F0507;17;-60…+60;90°;G1/4;20621;"0 шт"
AP-V-085SR9-F0507TT60;085;"Одностороннего действия";4.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-085SR8-F0507TT60;085;"Одностороннего действия";4;F0507;17;-60…+60;90°;G1/4;20835.14;"0 шт"
AP-V-085SR7-F0507TT60;085;"Одностороннего действия";3.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-085SR6-F0507TT60;085;"Одностороннего действия";3;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-085SR5-F0507TT60;085;"Одностороннего действия";2.5;F0507;17;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR12-F0507TT60;075;"Одностороннего действия";6;F0507;14;-60…+60;90°;G1/4;15611.79;"0 шт"
AP-V-075SR11-F0507TT60;075;"Одностороннего действия";5.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR10-F0507TT60;075;"Одностороннего действия";5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR9-F0507TT60;075;"Одностороннего действия";4.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR8-F0507TT60;075;"Одностороннего действия";4;F0507;14;-60…+60;90°;G1/4;17184.62;"0 шт"
AP-V-075SR7-F0507TT60;075;"Одностороннего действия";3.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR6-F0507TT60;075;"Одностороннего действия";3;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-075SR5-F0507TT60;075;"Одностороннего действия";2.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-065SR12-F0507TT60;065;"Одностороннего действия";6;F0507;14;-60…+60;90°;G1/4;15391.72;"0 шт"
AP-V-065SR11-F0507TT60;065;"Одностороннего действия";5.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-065SR10-F0507TT60;065;"Одностороннего действия";5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-065SR9-F0507TT60;065;"Одностороннего действия";4.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-065SR8-F0507TT60;065;"Одностороннего действия";4;F0507;14;-60…+60;90°;G1/4;15560.01;"0 шт"
AP-V-065SR7-F0507TT60;065;"Одностороннего действия";3.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-065SR6-F0507TT60;065;"Одностороннего действия";3;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-065SR5-F0507TT60;065;"Одностороннего действия";2.5;F0507;14;-60…+60;90°;G1/4;;"0 шт"
AP-V-050SR12-F0305TT60;050;"Одностороннего действия";6;F0305;11;-60…+60;90°;G1/4;12401.41;"0 шт"
AP-V-050SR11-F0305TT60;050;"Одностороннего действия";5.5;F0305;11;-60…+60;90°;G1/4;;"0 шт"
AP-V-050SR10-F0305TT60;050;"Одностороннего действия";5;F0305;11;-60…+60;90°;G1/4;;"0 шт"
AP-V-050SR9-F0305TT60;050;"Одностороннего действия";4.5;F0305;11;-60…+60;90°;G1/4;;"0 шт"
AP-V-050SR8-F0305TT60;050;"Одностороннего действия";4;F0305;11;-60…+60;90°;G1/4;12023.41;"0 шт"
AP-V-050SR7-F0305TT60;050;"Одностороннего действия";3.5;F0305;11;-60…+60;90°;G1/4;;"0 шт"
AP-V-050SR6-F0305TT60;050;"Одностороннего действия";3;F0305;11;-60…+60;90°;G1/4;;"0 шт"
AP-V-050SR5-F0305TT60;050;"Одностороннего действия";2.5;F0305;11;-60…+60;90°;G1/4;;"0 шт"
AP-V-085SR12-F0507TT40;085;"Одностороннего действия";6;F0507;17;-40…+60;90°;G1/4;19605.35;"0 шт"
AP-V-160SR10-F1012TT40;160;"Одностороннего действия";5;F1012;27;-40…+60;90°;G1/4;80732.12;"0 шт"
AP-V-125SR10-F0710TT40;125;"Одностороннего действия";5;F0710;22;-40…+60;90°;G1/4;39340.16;"0 шт"
