headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
TTY-YJ04P-01G;R1/2;"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;136.57;"119 шт"
TTY-YJ04P-03G;R1/2;"G3/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;105.50;"478 шт"
TTY-PV03-03P;R3/8;R3/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;277.03;"189 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
TTY-GDT01G;G1/8;-;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";48.67;"308 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";Форма;price;stock
TTY-PEF3-01G;"G1/8 внутренняя";"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Т-образный;269.91;"129 шт"
TTY-YB02G-02P;"G1/4 внутренняя";R1/4;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;135.28;"101 шт"
TTY-YL04P;R1/2;R1/2;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;146.93;"0 шт"
TTY-YJ03P-02G;R3/8;"G1/4 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;64.98;"146 шт"
TTY-PEF3-03G;"G3/8 внутренняя";"G3/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Т-образный;611.01;"96 шт"
TTY-PVF2-01G;"G1/8 внутренняя";"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;179.94;"166 шт"
TTY-PV02-02P;R1/4;R1/4;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;205.83;"146 шт"
TTY-YD03-03G;"G3/8 внутренняя";"G3/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;146.93;"815 шт"
TTY-YJ02P-01G;R1/4;"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;48.67;"219 шт"
TTY-YB04G-04P;"G1/2 внутренняя";R1/2;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;228.48;"176 шт"
TTY-YB01G-01P;"G1/8 внутренняя";R1/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;67.57;"115 шт"
TTY-PLF04G-04P;"G1/2 внутренняя";R1/2;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;585.12;"222 шт"
