headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";Форма;price;stock
ZPL08-03G;"Цанговый штуцер 8 мм";G3/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;104.60;"720 шт"
ZPL08-02G;"Цанговый штуцер 8 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;84.79;"1489 шт"
ZPL08-01G;"Цанговый штуцер 8 мм";G1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;79.35;"1811 шт"
ZPL06-04G;"Цанговый штуцер 6 мм";G1/2;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;146.93;"244 шт"
ZPL06-02G;"Цанговый штуцер 6 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;76.25;"1384 шт"
ZPL06-01G;"Цанговый штуцер 6 мм";G1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;64.98;"1362 шт"
ZPL04-02G;"Цанговый штуцер 4 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;70.81;"1351 шт"
ZPCF10-04G;"Цанговый штуцер 10 мм";"G1/2 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;189.65;"254 шт"
ZPCF10-02G;"Цанговый штуцер 10 мм";"G1/4 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;118.58;"135 шт"
ZPCF10-01G;"Цанговый штуцер 10 мм";"G1/8 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;118.58;"246 шт"
ZPCF08-02G;"Цанговый штуцер 8 мм";"G1/4 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;113.14;"596 шт"
ZPCF08-01G;"Цанговый штуцер 8 мм";"G1/8 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;79.35;"88 шт"
ZPCF06-01G;"Цанговый штуцер 6 мм";"G1/8 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;79.35;"87 шт"
ZPCF04-01G;"Цанговый штуцер 4 мм";"G1/8 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;79.35;"290 шт"
ZPOC12-02G;"Цанговый штуцер 12 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;133.33;"183 шт"
ZPOC08-01G;"Цанговый штуцер 8 мм";G1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;73.53;"882 шт"
ZPC16-04G;"Цанговый штуцер 16 мм";G1/2;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;271.20;"329 шт"
ZPC16-03G;"Цанговый штуцер 16 мм";G3/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;271.20;"214 шт"
ZPC14-04G;"Цанговый штуцер 14 мм";G1/2;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;249.19;"154 шт"
ZPC12-04G;"Цанговый штуцер 12 мм";G1/2;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;164.40;"640 шт"
ZPC12-03G;"Цанговый штуцер 12 мм";G3/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;138.51;"442 шт"
ZPC12-02G;"Цанговый штуцер 12 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;138.51;"1289 шт"
ZPC12-01G;"Цанговый штуцер 12 мм";G1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;135.92;"225 шт"
ZPC10-03G;"Цанговый штуцер 10 мм";G3/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;104.60;"678 шт"
ZPC10-02G;"Цанговый штуцер 10 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;107.31;"1707 шт"
ZPC08-04G;"Цанговый штуцер 8 мм";G1/2;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;138.51;"1695 шт"
ZPC08-03G;"Цанговый штуцер 8 мм";G3/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;84.79;"257 шт"
ZPC08-02G;"Цанговый штуцер 8 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;67.57;"173 шт"
ZPC08-01G;"Цанговый штуцер 8 мм";G1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;70.81;"1712 шт"
ZPC06-02G;"Цанговый штуцер 6 мм";G1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;73.53;"1774 шт"
ZPC06-01G;"Цанговый штуцер 6 мм";G1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;53.72;"494 шт"
ZPLF06-02G;"Цанговый штуцер 6 мм";"G1/4 внутренняя";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Угловой;118.58;"57 шт"
ZPC08-01P;"Цанговый штуцер 8 мм";R1/8;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;64.98;"3198 шт"
ZPE08;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Т-образный;62.27;"1853 шт"
ZPE06;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Т-образный;59.55;"3540 шт"
ZPC08-02P;"Цанговый штуцер 8 мм";R1/4;"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;64.98;"2894 шт"
ZPK10;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Многоотводный;206.47;"117 шт"
ZPP10;"Втулка под цанговый штуцер 4 мм";-;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Заглушка;45.57;"288 шт"
ZPP08;"Втулка под цанговый штуцер 4 мм";-;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Заглушка;33.79;"447 шт"
ZPP06;"Втулка под цанговый штуцер 4 мм";-;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Заглушка;28.48;"1071 шт"
ZPZA08;"Цанговый штуцер 8 мм";-;"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;X-образный;115.86;"877 шт"
ZPM10;"Цанговый штуцер 10 мм";"Цанговый штуцер 10 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;187.06;"392 шт"
ZPM08;"Цанговый штуцер 8 мм";"Цанговый штуцер 8 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;155.99;"1101 шт"
ZPM06;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Латунь;NBR;Прямой;121.68;"689 шт"
ZPU16;"Цанговый штуцер 16 мм";"Цанговый штуцер 16 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Прямой;178;"111 шт"
ZPU14;"Цанговый штуцер 14 мм";"Цанговый штуцер 14 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Прямой;172.82;"204 шт"
ZPU12;"Цанговый штуцер 12 мм";"Цанговый штуцер 12 мм";"0 … 1.0";"Сжатый воздух";"0 ... +60";Полимер;NBR;Прямой;79.35;"959 шт"
