headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";"Цвет кнопки";price;stock
L523-10;"5/2 Бистабильный";"Кнопка с фиксацией";-;G3/8;G3/8;G3/8;G1/4;G1/4;"1 650";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1811.02;"0 шт"
L521-06;"5/2 Бистабильный";"Кнопка с фиксацией";-;G1/8;G1/8;G1/8;G1/8;G1/8;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1492.57;"0 шт"
L323-10;"3/2 Бистабильный";"Кнопка с фиксацией";-;G3/8;G3/8;-;G3/8;-;"1 650";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1764.42;"0 шт"
L322-08;"3/2 Бистабильный";"Кнопка с фиксацией";-;G1/4;G1/4;-;G1/4;-;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1359.24;"0 шт"
L321-06;"3/2 Бистабильный";"Кнопка с фиксацией";-;G1/8;G1/8;-;G1/8;-;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1359.24;"0 шт"
MJ32-08;"3/2 Н.З. Моностабильный";Толкатель;"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;1171.53;"0 шт"
MJ32-08S6R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
MJ32-08S4G;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;1273.15;"0 шт"
MJ32-08S3R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
MV32-06S6;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;915.87;"0 шт"
MV32-06S4;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;915.87;"0 шт"
MV32-06S3;"3/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;915.87;"0 шт"
M32-08S6R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
M32-08S5R;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
