headers;"Код заказа";Присоединение;Конструкция;Функция;"Условный проход, мм";"Размер привода, мм";"Расход Kv, м3/час";"Присоединение канала управления";"Рабочая среда";"Температура рабочей среды, °С";"Рабочее давление, МПа";"Максимальная вязкость среды, сСт";"Управляющая среда";"Температура окружающей среды, °С";"Управляющее давление, МПа";"Материал корпуса клапана";"Материал уплотнения клапана";"Материал привода";"Уплотнения привода";price;stock
EMCJ-10-50DS2;G3/8;"Седельный клапан";"Двустороннего действия";10;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1.6;600;"Сжатый воздух";"-10 … +60";"0.3… 1.0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";18841.59;"0 шт"
EMCJ-10-50DS1;G3/8;"Седельный клапан";"Двустороннего действия";10;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";18841.59;"0 шт"
EMCJ-10-50DCS2;G3/8;"Седельный клапан";"Двустороннего действия нормально закрытый";10;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16744.49;"0 шт"
EMCJ-10-50DCS1;G3/8;"Седельный клапан";"Двустороннего действия нормально закрытый";10;50;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16744.49;"0 шт"
EMCJ-10-40S2;G3/8;"Седельный клапан";"Нормально закрытый";10;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";10136.01;"0 шт"
EMCJ-10-40DS2;G3/8;"Седельный клапан";"Двустороннего действия";10;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";19255.84;"0 шт"
EMCJ-10-40DS1;G3/8;"Седельный клапан";"Двустороннего действия";10;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";19255.84;"0 шт"
EMCJ-10-40DCS2;G3/8;"Седельный клапан";"Двустороннего действия нормально закрытый";10;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 304";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16382.02;"0 шт"
EMCJ-10-40DCS1;G3/8;"Седельный клапан";"Двустороннего действия нормально закрытый";10;40;4.7;G1/8;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар/ щелочной и слабокислый раствор";"-10 … +180";0…1,6;600;"Сжатый воздух";"-10 … +60";"0,3… 1,0";"Нержавеющая сталь 316";PTFE;"Нержавеющая сталь 304";"PTFE / FKM";16382.02;"0 шт"
EMCP-50-80HS2;G2;"Седельный клапан";"Нормально открытый";50;80;52.8;G1/4;"Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар Вода/ нейтральный газ или жидкость/ этанол/ масло/ органический растворитель/ пар";"-10 … +180";"0 … 1.6";600;"Сжатый воздух";"-10 … +60";"0.3 … 0.8";"Нержавеющая сталь 304";PTFE;Полимер;NBR;23728.37;"0 шт"
