headers;"Код заказа";"Материал уплотнения";"Тип корпуса";"Условный проход, мм";"Рабочее давление, бар";"Условное давление, бар";"Материал корпуса";"Материал диска";"Тип управления";price;stock
VZACS-C-200-16-PN16-H1-V9-E5-GB;"EPDM абразивостойкий";Межфланцевый;200;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Редуктор;44628.23;"3 шт"
VZACS-C-125-16-PN16-H1-V9-E5-HL;"EPDM абразивостойкий";Межфланцевый;125;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;17449.99;"46 шт"
VZACS-C-100-16-PN16-H1-V9-E5-HL;"EPDM абразивостойкий";Межфланцевый;100;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;12977.46;"3 шт"
VZACS-C-80-16-PN16-H1-V9-E5-HL;"EPDM абразивостойкий";Межфланцевый;80;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;8947.65;"30 шт"
VZACS-C-50-16-PN16-H1-V9-E5-HL;"EPDM абразивостойкий";Межфланцевый;50;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;6599.41;"18 шт"
VZACS-С-100-10-PN16-H2-V3-E5;"EPDM абразивостойкий";Межфланцевый;100;10;16;"Чугун GG25";"Нержавеющая сталь CF8";"Голый вал";11912.08;"0 шт"
VZACS-С-50-10-PN16-H2-V3-E5;"EPDM абразивостойкий";Межфланцевый;50;10;16;"Чугун GG25";"Нержавеющая сталь CF8";"Голый вал";5592.28;"0 шт"
VZACS-С-150-10-PN16-H2-V3-E5;"EPDM абразивостойкий";Межфланцевый;150;10;16;"Чугун GG25";"Нержавеющая сталь CF8";"Голый вал";20861.03;"0 шт"
VZACS-С-200-10-PN16-H1-V9P-P-GB;PTFE;Межфланцевый;200;10;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Редуктор;149205.22;"0 шт"
VZACS-С-100-16-PN10-H1-V9P-P-HL;PTFE;Межфланцевый;100;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";Рукоятка;55702.77;"0 шт"
VZACS-C-200-16-PN16-H1-V9-P;PTFE;Межфланцевый;200;16;16;"Чугун GGG25";"Нержавеющая сталь CF8M";"Голый вал";82434.40;"0 шт"
VZACC-С-40-16-PN16-H2-V3-E-GB;EPDM;Межфланцевый;40;16;16;"Чугун GG25";"Нержавеющая сталь CF8";Редуктор;7829.20;"0 шт"
