headers;"Код заказа";"Пневматическое присоединение";"Элемент настройки";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал регулировочной рукоятки";"Материал глушителя";price;stock
SPK-15G;G1/2;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;1606.49;"195 шт"
SPK-10G;G3/8;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;833.02;"172 шт"
SPK-08G;G1/4;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;473.14;"601 шт"
SPK-06G;G1/8;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;333.34;"485 шт"
SPK-06P;R1/8;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;390.29;"0 шт"
SPK-25G;G1;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;3324.30;"0 шт"
SPK-20G;G3/4;"Регулировочная рукоятка";"0 … 1";"0 … +60";Латунь;Латунь;Полимер;2718.47;"0 шт"
