headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
EAW4000-04F25M;4000;G1/2;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;4772.86;"45 шт"
EAW3000-03F1;3000;G3/8;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;2978.67;"18 шт"
EAW4000-04DF25M;4000;G1/2;"Встроенный квадратный";Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;5792.93;"40 шт"
EAW3000-02F25M;3000;G1/4;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;2978.67;"215 шт"
FEW-03MIDI;MIDI;G3/8;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;40;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6815.60;"30 шт"
EAW3000-04CF2;3000;G1/2;"Встроенный квадратный";Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;3126.24;"5 шт"
EAW3000-03CF2;3000;G3/8;"Встроенный квадратный";Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;3126.24;"14 шт"
EAW4000-06DF2;4000;G3/4;"Встроенный квадратный";Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;5792.93;"0 шт"
EAW4000-06F2;4000;G3/4;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;4772.86;"20 шт"
EAW2000-01F2;2000;G1/8;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";11;"С монтажной скобой";Алюминий;Поликарбонат;2481.58;"33 шт"
