headers;"Код заказа";"Функция пневмоцилиндра";"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Тип направляющей";"Исполнение штока";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал направляющих";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
SGL32x25-S;"Двустороннего действия";32;25;Да;"Направляющая качения";"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;483;390;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";11689.43;"4 шт"
SGL16x40-S;"Двустороннего действия";16;40;Да;"Направляющая качения";"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;121;90;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";9425.33;"16 шт"
SGL16x10-S;"Двустороннего действия";16;10;Да;"Направляющая качения";"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;121;90;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";7387.77;"8 шт"
SGL12x10-S;"Двустороннего действия";12;10;Да;"Направляющая качения";"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;68;51;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6684.85;"4 шт"
SGL50x125-S;"Двустороннего действия";50;125;Да;"Направляющая качения";"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;1025;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";22472.69;"5 шт"
SGL50x100-S;"Двустороннего действия";50;100;Да;"Направляющая качения";"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;1025;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";20485.62;"3 шт"
SGM32x50-S;"Двустороннего действия";32;50;Да;"Направляющая скольжения";"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;483;390;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";10692.65;"18 шт"
SGM40x200-S;"Двустороннего действия";40;200;Да;"Направляющая скольжения";"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;622;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";18446.77;"0 шт"
SGM16x50-S;"Двустороннего действия";16;50;Да;"Направляющая скольжения";"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;121;90;Сталь;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5961.22;"0 шт"
ELS12x20-S;"Двустороннего действия";12;20;Да;"Направляющая скольжения";Траверса;"Нерегулируемое механическое";M5x0,8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;136;102;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";20550.35;"0 шт"
ELS16x40-S;"Двустороннего действия";16;40;Да;"Направляющая скольжения";Траверса;"Нерегулируемое механическое";M5x0,8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;241;207;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";23786.62;"0 шт"
ELS25x20-S-B;"Двустороннего действия";25;20;Да;"Направляющая скольжения";Траверса;"Амортизаторы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";37689.66;"0 шт"
ELS25x10-S-B;"Двустороннего действия";25;10;Да;"Направляющая скольжения";Траверса;"Амортизаторы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";36692.89;"0 шт"
ELS25x125-S-AF;"Двустороннего действия";25;125;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";48097.52;"0 шт"
ELS25x100-S-AF;"Двустороннего действия";25;100;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";43042.46;"0 шт"
ELS25x75-S-AF;"Двустороннего действия";25;75;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";37961.51;"0 шт"
ELS25x50-S-AF;"Двустороннего действия";25;50;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";31301.25;"0 шт"
ELS25x40-S-AF;"Двустороннего действия";25;40;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";30103.83;"0 шт"
ELS25x30-S-AF;"Двустороннего действия";25;30;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";28880.52;"0 шт"
ELS25x20-S-AF;"Двустороннего действия";25;20;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";27857.86;"0 шт"
ELS25x10-S-AF;"Двустороннего действия";25;10;Да;"Направляющая скольжения";Траверса;"Демпфер сзади";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";26861.08;"0 шт"
ELS25x125-S-AS;"Двустороннего действия";25;125;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";48906.59;"0 шт"
ELS25x100-S-AS;"Двустороннего действия";25;100;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";43858;"0 шт"
ELS25x75-S-AS;"Двустороннего действия";25;75;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";38777.05;"0 шт"
ELS25x50-S-AS;"Двустороннего действия";25;50;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";32116.79;"0 шт"
ELS25x40-S-AS;"Двустороннего действия";25;40;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";30912.90;"0 шт"
ELS25x30-S-AS;"Двустороннего действия";25;30;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";29689.59;"0 шт"
ELS25x20-S-AS;"Двустороннего действия";25;20;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";28673.40;"0 шт"
ELS25x10-S-AS;"Двустороннего действия";25;10;Да;"Направляющая скольжения";Траверса;"Демпфер спереди";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";27676.62;"0 шт"
ELS25x125-S-A;"Двустороннего действия";25;125;Да;"Направляющая скольжения";Траверса;"Демпферы с двух сторон";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.15…0.7;-20...+70;589;495;Сталь;Алюминий;"Нержавеющая сталь";"TPU, NBR";50298.19;"0 шт"
