headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
IAC25x200-S;"ISO 6432";"Двустороннего действия";25;200;Да;"Наружная резьба";М10х1,25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;3855.05;"34 шт"
IAC25x100-S;"ISO 6432";"Двустороннего действия";25;100;Да;"Наружная резьба";М10х1,25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;3233.69;"70 шт"
IAC25x50-S;"ISO 6432";"Двустороннего действия";25;50;Да;"Наружная резьба";М10х1,25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2923;"86 шт"
IAC25x25-S;"ISO 6432";"Двустороннего действия";25;25;Да;"Наружная резьба";М10х1,25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";294;247;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2767.66;"45 шт"
IAC20x300-S;"ISO 6432";"Двустороннего действия";20;300;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;4235.64;"5 шт"
IAC20x150-S;"ISO 6432";"Двустороннего действия";20;150;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;3258.28;"99 шт"
IAC20x50-S;"ISO 6432";"Двустороннего действия";20;50;Да;"Наружная резьба";М8;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";188;158;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2687.40;"53 шт"
IAC16x200-S;"ISO 6432";"Двустороннего действия";16;200;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;3194.85;"27 шт"
IAC16x150-S;"ISO 6432";"Двустороннего действия";16;150;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2972.19;"2 шт"
IAC16x125-S;"ISO 6432";"Двустороннего действия";16;125;Да;"Наружная резьба";М6;"Регулируемое пневматическое";М5х0,8;"Сжатый воздух (степень фильтрации 40 мкм)";"0,1 … 1,0";"-20 … +80";121;104;Алюминий;"Нержавеющая сталь";"Сталь S45c с твёрдым хромированием";NBR;2860.87;"20 шт"
