headers;"Код заказа";Присоединение;Конструкция;Функция;"Условный проход, мм";Cv;"Тип катушки";Напряжение;"Мощность катушки";"Степень защиты";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";"Материал мембраны";price;stock
ELP15E2;G1/2;"Мембранный клапан";"Нормально закрытый";15;5.5;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;4945.03;"30 шт"
ZS15-100E4;G1/2;"Мембранный клапан";"Нормально закрытый";10;1.8;Стандартная;"24 В пост. тока";"13 Вт";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0…1,6;-10…+80;Латунь;NBR;4406.51;"0 шт"
ELP20E4;G3/4;"Мембранный клапан";"Нормально закрытый";20;9.5;Стандартная;"24 В пост. тока";"10 Вт";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;5531.44;"0 шт"
ELP20E2;G3/4;"Мембранный клапан";"Нормально закрытый";20;9.5;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;5531.44;"0 шт"
ELP08-030E2;G1/4;"Мембранный клапан";"Нормально закрытый";3;0.33;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...1,3;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP08-020E2;G1/4;"Мембранный клапан";"Нормально закрытый";2;0.18;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...2,0;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP15E2V;G1/2;"Мембранный клапан";"Нормально закрытый";15;5.5;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;FPM;5206.52;"0 шт"
ELP15E2E;G1/2;"Мембранный клапан";"Нормально закрытый";15;5.5;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;EPDM;4945.03;"0 шт"
ELP10-150E2V;G3/8;"Мембранный клапан";"Нормально закрытый";15;5;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;FPM;5222.05;"0 шт"
ELP10-150E2E;G3/8;"Мембранный клапан";"Нормально закрытый";15;5;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;EPDM;4945.03;"0 шт"
ELP08-040E2;G1/4;"Мембранный клапан";"Нормально закрытый";4;0.55;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...0,8;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP06-040E2;G1/8;"Мембранный клапан";"Нормально закрытый";4;0.55;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...0,8;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP06-030E2;G1/8;"Мембранный клапан";"Нормально закрытый";3;0.33;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...1,3;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP06-020E2;G1/8;"Мембранный клапан";"Нормально закрытый";2;0.18;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...2,0;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP08-015E2;G1/4;"Мембранный клапан";"Нормально закрытый";1.5;0.1;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...3,0;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP06-015E2;G1/8;"Мембранный клапан";"Нормально закрытый";1.5;0.1;Стандартная;"220 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0...3,0;-20...+80;Латунь;FPM;2860.87;"0 шт"
ELP25E1V;G1;"Мембранный клапан";"Нормально закрытый";25;12.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;FPM;9110.76;"0 шт"
ELP25E1E;G1;"Мембранный клапан";"Нормально закрытый";25;12.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;EPDM;8328.88;"0 шт"
ELP25E1;G1;"Мембранный клапан";"Нормально закрытый";25;12.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;8328.88;"0 шт"
ELP20E1V;G3/4;"Мембранный клапан";"Нормально закрытый";20;9.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;FPM;5923.68;"0 шт"
ELP20E1E;G3/4;"Мембранный клапан";"Нормально закрытый";20;9.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;EPDM;5531.44;"0 шт"
ELP20E1;G3/4;"Мембранный клапан";"Нормально закрытый";20;9.5;Стандартная;"110 В перем. тока";"15 ВА";IP65;"Воздух, вода, горячая вода, масло (≤20сСт)";0,5...1,6;-20...+80;Латунь;NBR;5531.44;"0 шт"
