headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Присоединительная резьба, канал 1";"Присоединительная резьба, канал 2";"Присоединительная резьба, канал 4";"Присоединительная резьба, канал 3";"Присоединительная резьба, канал 5";"Присоединительная резьба, канал управления";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Максимальная частота, Гц";"Масса, г";"Материал корпуса";"Материал уплотнений";price;stock
RVA5232-08;"5/2 бистабильный";Пневматическое;Нет;G1/4;G1/4;G1/4;G1/4;G1/4;G1/8;1380;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;260;Алюминий;HNBR;2438.86;"88 шт"
RVA5241-10;"5/2 моностабильный";Пневматическое;"Механическая пружина";G3/8;G3/8;G3/8;G3/8;G3/8;G1/8;2750;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;437;Алюминий;HNBR;2789.67;"0 шт"
RVA5221-08Q;"5/2 моностабильный";Пневматическое;"Пневматическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;G1/8;880;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;128;Алюминий;HNBR;1418.78;"41 шт"
RVA5342C-15;"5/3 центральная позиция закрытая";Пневматическое;"Механическая пружина";G1/2;G1/2;G1/2;G1/2;G1/2;G1/8;1640;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;598;Алюминий;HNBR;5229.82;"0 шт"
RVA5322E-06;"5/3 центральная позиция на выхлоп";Пневматическое;"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;G1/8;660;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;3;219;Алюминий;HNBR;3484.82;"0 шт"
RVA3242-10;"3/2 Н.З. бистабильный";Пневматическое;Нет;G3/8;G3/8;-;G3/8;-;G1/8;2700;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;490;Алюминий;HNBR;3901.65;"0 шт"
RVA3232-10;"3/2 Н.З. бистабильный";Пневматическое;Нет;G3/8;G3/8;-;G3/8;-;G1/8;1650;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;260;Алюминий;HNBR;2560.54;"0 шт"
RVA3232-08;"3/2 Н.З. бистабильный";Пневматическое;Нет;G1/4;G1/4;-;G1/4;-;G1/8;1370;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;260;Алюминий;HNBR;2560.54;"0 шт"
RVA3222-08;"3/2 Н.З. бистабильный";Пневматическое;Нет;G1/4;G1/4;-;G1/4;-;G1/8;950;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;153;Алюминий;HNBR;2159.24;"0 шт"
RVA3222-06;"3/2 Н.З. бистабильный";Пневматическое;Нет;G1/8;G1/8;-;G1/8;-;G1/8;760;0,15...0,8;"Фильтрованный сжатый воздух (40 мкм)";-20...+70;5;153;Алюминий;HNBR;2159.24;"0 шт"
