headers;"Код заказа";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";Демпфирование;"Пневматическое присоединение";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";Функция;"Исполнение штока";"Резьба на штоке";"Материал штока";price;stock
RA40x125-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;40;125;Да;"Упругие демпфирующие кольца";G1/4;753.6;633;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М12х1.25;"Сталь S45c с твёрдым хромированием";5430.47;"0 шт"
RA40x100-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;40;100;Да;"Упругие демпфирующие кольца";G1/4;753.6;633;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М12х1.25;"Сталь S45c с твёрдым хромированием";5153.44;"0 шт"
RA40x80-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;40;80;Да;"Упругие демпфирующие кольца";G1/4;753.6;633;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М12х1.25;"Сталь S45c с твёрдым хромированием";5004.58;"0 шт"
RA40x50-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;40;50;Да;"Упругие демпфирующие кольца";G1/4;753.6;633;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М12х1.25;"Сталь S45c с твёрдым хромированием";4596.81;"0 шт"
RA40x25-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;40;25;Да;"Упругие демпфирующие кольца";G1/4;753.6;633;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М12х1.25;"Сталь S45c с твёрдым хромированием";4321.07;"0 шт"
RA32x300-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;300;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";5543.09;"0 шт"
RA32x250-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;250;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";5075.77;"0 шт"
RA32x200-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;200;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";4626.58;"0 шт"
RA32x150-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;150;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";4181.27;"0 шт"
RA32x125-S;0.1...1.0;"Сжатый воздух (степень фильтрации 40 мкм)";"-20...+70°С (без замерзания)";"Нержавеющая сталь";NBR;32;125;Да;"Упругие демпфирующие кольца";G1/8;482.5;415;"Алюминиевый сплав";"Двустороннего действия";"Наружная резьба";М10х1.25;"Сталь S45c с твёрдым хромированием";3945.67;"0 шт"
