headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Объём маслораспылителя, мл";"Материал корпуса";"Материал стакана";price;stock
EAL4000-06;4000;G3/4;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";183;Алюминий;Поликарбонат;2670.57;"4 шт"
EAL4000-04;4000;G1/2;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";183;Алюминий;Поликарбонат;2670.57;"18 шт"
EAL3000-04;3000;G1/2;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";76;Алюминий;Поликарбонат;1909.40;"35 шт"
EAL3000-03;3000;G3/8;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";76;Алюминий;Поликарбонат;1909.40;"55 шт"
EAL3000-02;3000;G1/4;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";76;Алюминий;Поликарбонат;1909.40;"46 шт"
EAL2000-02;2000;G1/4;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";30;Алюминий;Поликарбонат;1430.43;"190 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Объём маслораспылителя, мл";"Материал корпуса";price;stock
FEL-10MAXI;MAXI;G1;"Сжатый воздух";-5…+60;0.1…1.6;"Вертикально +/- 5°";190;Алюминий;7068.02;"2 шт"
FEL-02MINI;MINI;G1/4;"Сжатый воздух";-5…+60;0.1…1.6;"Вертикально +/- 5°";45;Алюминий;2824.62;"10 шт"
FEL-06MAXI;MAXI;G3/4;"Сжатый воздух";-5…+60;0.1…1.6;"Вертикально +/- 5°";190;Алюминий;7068.02;"3 шт"
FEL-03MINI;MINI;G3/8;"Сжатый воздух";-5…+60;0.1…1.6;"Вертикально +/- 5°";45;Алюминий;2888.05;"0 шт"
FEL-04MIDI;MIDI;G1/2;"Сжатый воздух";-5…+60;0.1…1.6;"Вертикально +/- 5°";110;Алюминий;4543.73;"0 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Объём маслораспылителя, мл";"Материал корпуса";"Материал стакана";price;stock
EAL2000-01;2000;G1/8;"Сжатый воздух";-5…+60;0.15…1;"Вертикально +/- 5°";30;Алюминий;Поликарбонат;1430.43;"0 шт"
