headers;"Код заказа";"Функция распределителя";"Пневматическое присоединение";"Рабочее давление, МПа";"Рабочая температура, °С";"Защитный кожух";"Материал корпуса";"Материал уплотнений";"Материал защитного кожуха";price;stock
F522-08;"5/2 моностабильный";G1/4;"0 ... 0.8";"-5 ... +60";"Без кожуха";Алюминий;NBR;Нет;2434.97;"42 шт"
F522C-08;"5/2 моностабильный";G1/4;"0 ... 0.8";"-5 ... +60";"С кожухом";Алюминий;NBR;Технополимер;3268.64;"19 шт"
F522C-08L;"5/2 бистабильный";G1/4;"0 ... 0.8";"-5 ... +60";"С кожухом";Алюминий;NBR;Технополимер;3607.80;"2 шт"
F422-08;"4/2 моностабильный";G1/4;"0 ... 0.8";"-5 ... +60";"Без кожуха";Алюминий;NBR;Нет;2046.62;"38 шт"
F322-08;"3/2 Н.З. моностабильный";G1/4;"0 ... 0.8";"-5 ... +60";"Без кожуха";Алюминий;NBR;Нет;1909.40;"7 шт"
F522-08L;"5/2 бистабильный";G1/4;"0 ... 0.8";"-5 ... +60";"Без кожуха";Алюминий;NBR;Нет;2925.59;"34 шт"
F522C-08-T;"5/2 моностабильный";N1/4;"0 ... 0.8";"-5 ... +60";"С кожухом";Алюминий;NBR;Технополимер;4082.88;"0 шт"
F422-08-T;"4/2 моностабильный";N1/4;"0 ... 0.8";"-5 ... +60";"Без кожуха";Алюминий;NBR;Нет;2557.95;"0 шт"
F322-08-T;"3/2 Н.З. моностабильный";N1/4;"0 ... 0.8";"-5 ... +60";"Без кожуха";Алюминий;NBR;Нет;2388.37;"0 шт"
