headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
EAFD3000-04;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;5175.45;"20 шт"
EAFD3000-04D;3000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;6218.83;"3 шт"
EAFM3000-04D;3000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;6057.01;"10 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
ELH20-02;2000;G1/4;Ручной;"Сжатый воздух";-25…+80;0.15…3.5;40;"Вертикально +/- 5°";Алюминий;Алюминий;4504.89;"7 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
EAFD4000-04;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;7598.77;"27 шт"
FEF-03MIDI;MIDI;G3/8;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;4115.25;"10 шт"
EAF3000-04D;3000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;2831.09;"5 шт"
EAF4000-04D;4000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;3787.74;"7 шт"
EAF3000-03D;3000;G3/8;Автоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;2831.09;"3 шт"
EAF4000-04;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;2768.96;"104 шт"
EAF3000-02;3000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;1811.02;"79 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
ELH50-10;5000;G1;Ручной;"Сжатый воздух";-25…+80;0.15…3.5;40;"Вертикально +/- 5°";Алюминий;Алюминий;9562.55;"29 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEF-065MMAXI;MAXI;G3/4;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;7207.83;"6 шт"
