headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
SF40x10-S;"ISO 21287";"Двустороннего действия";40;10;Да;"Внутренняя резьба";M8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2494.52;"34 шт"
SF50x5-S;"ISO 21287";"Двустороннего действия";50;5;Да;"Внутренняя резьба";M10;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;1178;989;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2925.59;"5 шт"
SF40x80-S-M;"ISO 21287";"Двустороннего действия";40;80;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";3392.91;"5 шт"
SF40x40-S-M;"ISO 21287";"Двустороннего действия";40;40;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2878.99;"30 шт"
SF32x80-S-M;"ISO 21287";"Двустороннего действия";32;80;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";3126.24;"34 шт"
SF32x60-S-M;"ISO 21287";"Двустороннего действия";32;60;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2902.29;"19 шт"
SF32x40-S-M;"ISO 21287";"Двустороннего действия";32;40;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2679.64;"20 шт"
SF32x25-S-M;"ISO 21287";"Двустороннего действия";32;25;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2512.64;"20 шт"
SF32x20-S-M;"ISO 21287";"Двустороннего действия";32;20;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2456.98;"39 шт"
SF32x10-S-M;"ISO 21287";"Двустороннего действия";32;10;Да;"Наружная резьба";M10x1.25;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;"Алюминиевый сплав";"Алюминиевый сплав";"Сталь S45c с твёрдым хромированием";"TPU, NBR";2346.95;"46 шт"
