headers;"Код заказа";"Серия распределителей";Типоразмер;Материал;price;stock
FJ-ETA307FA;ET307;-;Сталь;104.08;"9 шт"
FJ-ET307FA;ET307;-;Сталь;68.48;"0 шт"
