headers;"Код заказа";"Исполнение прибора";"Выходной сигнал";"Расход, л/мин";"Тип резьбы";"Электрическое подключение";"Дополнительный температурный сенсор";price;stock
SMT-FTM520-400A-GK-M-T-PA1;FTM520;"1xPNP+аналоговый (4-20мА)";150-400;"Резьба G";"разъем М8 4pin с кабелем 2м";"С сенсором";55864.58;"0 шт"
SMT-FTM100-DN15-C-304-PN25-DC-HT;FTM-100;FTM-100;DN15;Компактное;SS304;SS304;"Фланцевый, PN25";"Фланцевый, PN25";"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";217400.01;"0 шт"
SMT-FTM100-DN10-C-304-PN25-AC-RS;FTM-100;FTM-100;DN10;Компактное;SS304;SS304;"Фланцевый, PN25";"Фланцевый, PN25";"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";198759.07;"0 шт"
SMT-FTM100-DN10-C-304-PN25-AC-HT;FTM-100;FTM-100;DN10;Компактное;SS304;SS304;"Фланцевый, PN25";"Фланцевый, PN25";"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";208079.54;"0 шт"
SMT-FTM100-DN10-C-304-PN25-DC-RS;FTM-100;FTM-100;DN10;Компактное;SS304;SS304;"Фланцевый, PN25";"Фланцевый, PN25";"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";198759.07;"0 шт"
SMT-FTM100-DN10-C-304-PN25-DC-HT;FTM-100;FTM-100;DN10;Компактное;SS304;SS304;"Фланцевый, PN25";"Фланцевый, PN25";"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";208079.54;"0 шт"
SMT-FTM100-DN100-R-304-T-AC-RS;FTM-100;FTM-100;DN100;Компактное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";257012.02;"0 шт"
SMT-FTM100-DN100-R-304-T-AC-HT;FTM-100;FTM-100;DN100;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";266332.49;"0 шт"
SMT-FTM100-DN100-R-304-T-DC-RS;FTM-100;FTM-100;DN100;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";257012.02;"0 шт"
SMT-FTM100-DN100-R-304-T-DC-HT;FTM-100;FTM-100;DN100;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";266332.49;"0 шт"
SMT-FTM100-DN80-R-304-T-AC-RS;FTM-100;FTM-100;DN80;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";252351.78;"0 шт"
SMT-FTM100-DN80-R-304-T-AC-HT;FTM-100;FTM-100;DN80;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";257012.02;"0 шт"
SMT-FTM100-DN80-R-304-T-DC-RS;FTM-100;FTM-100;DN80;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";252351.78;"0 шт"
SMT-FTM100-DN80-R-304-T-DC-HT;FTM-100;FTM-100;DN80;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";257012.02;"0 шт"
SMT-FTM100-DN65-R-304-T-DC-RS;FTM-100;FTM-100;DN65;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";247691.54;"0 шт"
SMT-FTM100-DN65-R-304-T-DC-HT;FTM-100;FTM-100;DN65;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"24 В пост. тока";"24 В пост. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";252351.78;"0 шт"
SMT-FTM100-DN50-R-304-T-AC-RS;FTM-100;FTM-100;DN50;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, RS485";"4-20мА, pulse, RS485";243031.31;"0 шт"
SMT-FTM100-DN50-R-304-T-AC-HT;FTM-100;FTM-100;DN50;Раздельное;SS304;SS304;Резьбовой;Резьбовой;"220 В перем. тока";"220 В перем. тока";"4-20мА, pulse, HART";"4-20мА, pulse, HART";247691.54;"0 шт"
