headers;"Код заказа";"Тип резьбы";"Присоединительная резьба";"Рабочая температура, °С";Материал;price;stock
FJ-M10x1.25YCJ-L;"Внутренняя левая";М10х1.25;-40...+150;"Углеродистая сталь";523.63;"0 шт"
FJ-M8x1.25YCJ-L;"Внутренняя левая";М8;-40...+150;"Углеродистая сталь";372.17;"0 шт"
FJ-M6x1YCJ-L;"Внутренняя левая";М6;-40...+150;"Углеродистая сталь";288.68;"0 шт"
FJ-M36X2BJ-L;"Внутренняя левая";М36х2;-40...+150;"Углеродистая сталь";6119.15;"0 шт"
FJ-M27X2BJ-L;"Внутренняя левая";М27х2;-40...+150;"Углеродистая сталь";3351.49;"0 шт"
FJ-M20X1.5BJ-L;"Внутренняя левая";М20х1.5;-40...+150;"Углеродистая сталь";1252.44;"0 шт"
FJ-M16X1.5BJ-L;"Внутренняя левая";М16х1.5;-40...+150;"Углеродистая сталь";821.37;"0 шт"
FJ-M12X1.25BJ-L;"Внутренняя левая";М12х1.25;-40...+150;"Углеродистая сталь";475.73;"0 шт"
FJ-M10X1.25BJ-L;"Внутренняя левая";М10х1.25;-40...+150;"Углеродистая сталь";455.02;"0 шт"
FJ-M8X1.25BJ-L;"Внутренняя левая";М8;-40...+150;"Углеродистая сталь";336.57;"0 шт"
FJ-M6X1BJ-L;"Внутренняя левая";М6;-40...+150;"Углеродистая сталь";312.62;"0 шт"
FJ-M8x1.25BJ-E04;Внутренняя;М8;-40...+150;"Углеродистая сталь";336.57;"0 шт"
FJ-M27x2FD;Внутренняя;М27х2;-40...+150;"Углеродистая сталь";5373.51;"0 шт"
FJ-M16x1.5FD;Внутренняя;М16х1.5;-40...+150;"Углеродистая сталь";1948.24;"0 шт"
FJ-M12x1.25FD;Внутренняя;М12х1.25;-40...+150;"Углеродистая сталь";1150.82;"0 шт"
FJ-M8x1.25YJ;Внутренняя;М8;-40...+150;"Углеродистая сталь";339.16;"0 шт"
FJ-M6x1YJ;Внутренняя;М6;-40...+150;"Углеродистая сталь";264.73;"0 шт"
FJ-M12x1.25FD-E04;Внутренняя;М12х1.25;-40...+150;"Углеродистая сталь";1150.82;"0 шт"
FJ-M4x0.7FD-E04;Внутренняя;M4x0.7;-40...+150;"Углеродистая сталь";339.16;"0 шт"
