headers;"Код заказа";Типоразмер;"Класс точности";"Тела качения";"Крепление направляющей";"Масса одного метра, кг/м";Материал;price;stock
RW30HCZBH;30;"H - Повышенный";"W - Фланцевая";"C - Сверху и Снизу";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";61.45;109.98;2.05;1.92;1.92;1.21;"Углеродистая сталь";9925.01;"0 шт"
RW30HCZAP;30;"P - Высокий";"W - Фланцевая";"C - Сверху и Снизу";Да;"ZA - Средний";"Торц. и ниж. уплотнения";61.45;109.98;2.05;1.92;1.92;1.21;"Углеродистая сталь";10917.90;"0 шт"
RW30HCZ0P;30;"P - Высокий";"W - Фланцевая";"C - Сверху и Снизу";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";61.45;109.98;2.05;1.92;1.92;1.21;"Углеродистая сталь";10917.90;"0 шт"
RW30HCZ0H;30;"H - Повышенный";"W - Фланцевая";"C - Сверху и Снизу";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";61.45;109.98;2.05;1.92;1.92;1.21;"Углеродистая сталь";9925.01;"0 шт"
RW25HCZBP;25;"P - Высокий";"W - Фланцевая";"C - Сверху и Снизу";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";39.13;75.31;1.12;1.15;1.15;0.78;"Углеродистая сталь";9589.73;"0 шт"
RW25HCZBH;25;"H - Повышенный";"W - Фланцевая";"C - Сверху и Снизу";Да;"ZB - Высокий";"Торц. и ниж. уплотнения";39.13;75.31;1.12;1.15;1.15;0.78;"Углеродистая сталь";8718.52;"0 шт"
RW25HCZAP;25;"P - Высокий";"W - Фланцевая";"C - Сверху и Снизу";Да;"ZA - Средний";"Торц. и ниж. уплотнения";39.13;75.31;1.12;1.15;1.15;0.78;"Углеродистая сталь";9589.73;"0 шт"
RW25HCZAH;25;"H - Повышенный";"W - Фланцевая";"C - Сверху и Снизу";Да;"ZA - Средний";"Торц. и ниж. уплотнения";39.13;75.31;1.12;1.15;1.15;0.78;"Углеродистая сталь";8718.52;"0 шт"
RW25HCZ0P;25;"P - Высокий";"W - Фланцевая";"C - Сверху и Снизу";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";39.13;75.31;1.12;1.15;1.15;0.78;"Углеродистая сталь";9589.73;"0 шт"
RW25HCZ0H;25;"H - Повышенный";"W - Фланцевая";"C - Сверху и Снизу";Да;"Z0 - Легкий";"Торц. и ниж. уплотнения";39.13;75.31;1.12;1.15;1.15;0.78;"Углеродистая сталь";8718.52;"0 шт"
