headers;"Код заказа";"Соответствует стандарту";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
FVBC80x160-S;"ISO 15552";"Двустороннего действия";80;160;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;9745.07;"18 шт"
FVBC40X200-S;"ISO 15552";"Двустороннего действия";40;200;Да;"Наружная резьба";М12х1.25;"Регулируемое пневматическое";G1/4;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;5083.54;"33 шт"
FVBC32x150-S;"ISO 15552";"Двустороннего действия";32;150;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;3585.79;"41 шт"
FVBC32x125-S;"ISO 15552";"Двустороннего действия";32;125;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;3436.92;"36 шт"
FVBC32x25-S;"ISO 15552";"Двустороннего действия";32;25;Да;"Наружная резьба";М10х1.25;"Регулируемое пневматическое";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;482;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;2836.27;"86 шт"
FVBC80x80-S;"ISO 15552";"Двустороннего действия";80;80;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;8455.74;"14 шт"
FVBC100x500-S;"ISO 15552";"Двустороннего действия";100;500;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;16789.79;"7 шт"
FVBC100x400-S;"ISO 15552";"Двустороннего действия";100;400;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;14880.39;"44 шт"
FVBC100x250-S;"ISO 15552";"Двустороннего действия";100;250;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;13728.28;"25 шт"
FVBC100x200-S;"ISO 15552";"Двустороннего действия";100;200;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;12626.65;"45 шт"
FVBC100x150-S;"ISO 15552";"Двустороннего действия";100;150;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;11526.32;"23 шт"
FVBC100x100-S;"ISO 15552";"Двустороннего действия";100;100;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;10428.57;"38 шт"
FVBC100x75-S;"ISO 15552";"Двустороннего действия";100;75;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;9878.41;"21 шт"
FVBC100x50-S;"ISO 15552";"Двустороннего действия";100;50;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G1/2;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;"4 710";"4 416";Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;9350.25;"18 шт"
FVBC80x500-S;"ISO 15552";"Двустороннего действия";80;500;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;13359.34;"17 шт"
FVBC80x400-S;"ISO 15552";"Двустороннего действия";80;400;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;11874.54;"36 шт"
FVBC80x300-S;"ISO 15552";"Двустороннего действия";80;300;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;11859.01;"18 шт"
FVBC80x250-S;"ISO 15552";"Двустороннего действия";80;250;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;11013.69;"65 шт"
FVBC80x200-S;"ISO 15552";"Двустороннего действия";80;200;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;10168.38;"50 шт"
FVBC80x125-S;"ISO 15552";"Двустороннего действия";80;125;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;8879.04;"36 шт"
FVBC80x100-S;"ISO 15552";"Двустороннего действия";80;100;Да;"Наружная резьба";М20х1.5;"Регулируемое пневматическое";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";0.1...1.0;-20...+80;3014;2720;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";TPU;8455.74;"41 шт"
