headers;"Код заказа";Материал;"Диаметр, мм";Форма;"Подключение вакуума";Тип;price;stock
SZPT10BS-A5;Силикон;10;"Сильфонная 1,5 гофры";M5;SZPT;794.18;"0 шт"
SZPT10US-A5;Силикон;10;Плоская;M5;SZPT;704.86;"0 шт"
SZPT08US-A5;Силикон;8;Плоская;M5;SZPT;392.88;"0 шт"
SZPT04US-A5;Силикон;4;Плоская;M5;SZPT;392.88;"0 шт"
SZPT50CN-B6;NBR;50;"Плоская с рёбрами жёсткости";"М6 внутренняя";SZPT;868.62;"0 шт"
SZPT50CS-A6;Силикон;50;"Плоская с рёбрами жёсткости";М6;SZPT;992.89;"0 шт"
SZPT16BS-B6;Силикон;16;"Сильфонная 1,5 гофры";"М6 внутренняя";SZPT;654.37;"0 шт"
SZPT32BS-B01;Силикон;32;"Сильфонная 1,5 гофры";"R1/8 внутренняя";SZPT;788.36;"0 шт"
SZPT13BS-B5;Силикон;13;"Сильфонная 1,5 гофры";M5внутренняя;SZPT;654.37;"0 шт"
SZPT16US-B01;Силикон;16;Плоская;"R1/8 внутренняя";SZPT;645.31;"0 шт"
SZB40S-G1M;Силикон;40;"Сильфонная 1,5 гофры";G1/8;SZB;2897.11;"0 шт"
SZB40N-G1M;NBR;40;"Сильфонная 1,5 гофры";G1/8;SZB;2897.11;"0 шт"
SZF40S-G1M;Силикон;40;Плоская;G1/8;SZF;1216.84;"0 шт"
SZF40N-G1M;NBR;40;Плоская;G1/8;SZF;868.62;"0 шт"
